transaction_id,customer_id,product_id,product_name,transaction_date,experiment_condition,referring_channel,region_code,referral_discount,avg_income,churn_rate,brand_affinity_score,price_sensitivity,quality_orientation,aesthetic_importance,retail_price,cogs,review_star,review_text
T0003513,C00963,PRO_STUDIO,Aura Pro Studio,2022-01-03,Control,Email,SW,0,77812,0.21,4,Low,High,Med,1500,600,4.63,Impressive instrument separation and neutral tuning—reference-level clarity.
T0004829,C01312,GO_ACTIVE,Aura Go Active,2022-01-03,Influencer,Search,SW,0,60889,0.08,4,Med,Med,High,280,193.2,3.94,Battery and comfort are fantastic; a perfect starter.
T0005013,C01364,GO_MAX,Aura Go Max,2022-01-04,Control,Social,SW,0,50140,0.17,3,High,Med,Med,320,211.2,,
T0002533,C00698,GO_LITE,Aura Go Lite,2022-01-04,Professional,Email,EU,0,47831,0.19,3,High,Med,Med,220,149.6,,
T0001145,C00314,PRO_STUDIO,Aura Pro Studio,2022-01-04,Influencer,Social,NE,0,68695,0.07,4,Med,Med,Med,1500,600,,
T0001145,C00314,GO_PLUS,Aura Go Plus,2022-01-04,Influencer,Social,NE,0,68695,0.07,4,Med,Med,Med,260,174.2,,
T0002490,C00682,GO_ACTIVE,Aura Go Active,2022-01-04,Influencer,Search,SE,0,45820,0.20,3,High,Med,Med,280,193.2,3.21,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0001586,C00432,GO_MAX,Aura Go Max,2022-01-04,Control,Search,SW,0,54691,0.17,3,High,Med,Med,320,211.2,,
T0001145,C00314,GO_ACTIVE,Aura Go Active,2022-01-04,Influencer,Social,NE,0,68695,0.07,4,Med,Med,Med,280,193.2,4.27,Battery and comfort are fantastic; a perfect starter.
T0002094,C00561,GO_ACTIVE,Aura Go Active,2022-01-04,Control,Search,NE,0,48441,0.19,3,High,Med,Med,280,193.2,,
T0002094,C00561,GO_LITE,Aura Go Lite,2022-01-04,Control,Search,NE,0,48441,0.19,3,High,Med,Med,220,149.6,3.91,Solid value for money; looks sleek and gets the job done.
T0002094,C00561,GO_MAX,Aura Go Max,2022-01-04,Control,Search,NE,0,48441,0.19,3,High,Med,Med,320,211.2,4.38,Very comfy with great battery life; sound is fine for commuting.
T0003790,C01031,PRO_X,Aura Pro X,2022-01-04,Control,ReviewSite,SW,0,83266,0.22,5,Low,High,Med,1400,560,,
T0003790,C01031,PRO_X,Aura Pro X,2022-01-04,Control,ReviewSite,SW,0,83266,0.22,5,Low,High,Med,1400,560,5,Soundstage is airy and natural; micro-detail retrieval is exceptional.
T0001633,C00445,GO_PLUS,Aura Go Plus,2022-01-05,Influencer,Search,W,0,68242,0.05,4,Med,Med,Med,260,174.2,,
T0002037,C00545,GO_MAX,Aura Go Max,2022-01-05,Influencer,Direct,EU,0,47572,0.18,3,High,Med,Med,320,211.2,4,Solid value for money; looks sleek and gets the job done.
T0002678,C00736,PRO_CLASSIC,Aura Pro Classic,2022-01-05,Control,Email,SW,0,65070,0.07,4,Med,Med,High,1200,480,4.33,Sound is spacious with natural timbre; an endgame leap for me.
T0002889,C00790,GO_PLUS,Aura Go Plus,2022-01-05,Influencer,ReviewSite,SE,0,60884,0.08,4,Med,Med,High,260,174.2,,
T0002037,C00545,GO_AIR,Aura Go Air,2022-01-05,Influencer,Direct,EU,0,47572,0.18,3,High,Med,Med,180,126,,
T0003064,C00829,GO_ACTIVE,Aura Go Active,2022-01-05,Influencer,Email,SW,0,41609,0.17,3,High,Med,Med,280,193.2,,
T0005165,C01407,GO_ACTIVE,Aura Go Active,2022-01-06,Influencer,Search,EU,0,67240,0.09,4,Med,Med,Med,280,193.2,4.2,Battery and comfort are fantastic; a perfect starter.
T0005165,C01407,GO_PLUS,Aura Go Plus,2022-01-06,Influencer,Search,EU,0,67240,0.09,4,Med,Med,Med,260,174.2,,
T0004926,C01344,GO_LITE,Aura Go Lite,2022-01-06,Influencer,Affiliate,EU,0,55276,0.19,3,High,Low,Med,220,149.6,4.41,Solid value for money; looks sleek and gets the job done.
T0001793,C00486,GO_PLUS,Aura Go Plus,2022-01-06,Control,Social,NE,0,65434,0.07,4,Med,Med,Med,260,174.2,,
T0003788,C01030,PRO_CLASSIC,Aura Pro Classic,2022-01-07,Professional,Search,EU,0,69999,0.09,4,Med,Med,High,1200,480,,
T0004924,C01343,PRO_CLASSIC,Aura Pro Classic,2022-01-07,Influencer,Email,EU,0,72042,0.07,4,Med,Med,High,1200,480,4.22,Finally understand what ‘resolution’ means—phenomenal upgrade.
T0001276,C00351,GO_PLUS,Aura Go Plus,2022-01-07,Control,Direct,SE,0,43111,0.18,3,High,Med,Med,260,174.2,,
T0005104,C01386,GO_AIR,Aura Go Air,2022-01-07,Professional,Direct,EU,0,46612,0.18,3,High,Med,Med,180,126,3.87,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0002272,C00612,GO_AIR,Aura Go Air,2022-01-08,Influencer,Search,SE,0,48246,0.20,3,High,Med,High,180,126,,
T0004961,C01351,PRO_X,Aura Pro X,2022-01-08,Control,Search,SW,0,68538,0.09,4,Med,Med,High,1400,560,5,Sound is spacious with natural timbre; an endgame leap for me.
T0000374,C00109,PRO_STUDIO,Aura Pro Studio,2022-01-08,Control,Search,SE,0,80918,0.22,5,Low,High,Med,1500,600,4.68,"Build quality is superb, comfort is solid for long sessions, imaging is precise."
T0003306,C00899,PRO_CLASSIC,Aura Pro Classic,2022-01-08,Control,Social,SW,1,87459,0.23,5,Low,High,Med,1200,480,4.59,Soundstage is airy and natural; micro-detail retrieval is exceptional.
T0003306,C00899,PRO_CLASSIC,Aura Pro Classic,2022-01-08,Control,Social,SW,1,87459,0.23,5,Low,High,Med,1200,480,,
T0002272,C00612,GO_PLUS,Aura Go Plus,2022-01-08,Influencer,Search,SE,0,48246,0.20,3,High,Med,High,260,174.2,,
T0003461,C00944,GO_AIR,Aura Go Air,2022-01-09,Influencer,Search,W,0,70708,0.09,5,Med,Med,High,180,126,,
T0002849,C00779,GO_LITE,Aura Go Lite,2022-01-09,Influencer,Affiliate,SW,0,50907,0.18,3,High,Med,High,220,149.6,4.42,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0003248,C00886,PRO_X,Aura Pro X,2022-01-09,Control,Affiliate,SW,0,83432,0.23,4,Low,High,Med,1400,560,,
T0002322,C00629,GO_MAX,Aura Go Max,2022-01-10,Control,ReviewSite,EU,0,85463,0.23,5,Low,High,Med,320,211.2,,
T0001905,C00514,GO_LITE,Aura Go Lite,2022-01-10,Influencer,Search,NE,0,63946,0.09,4,Med,Med,High,220,149.6,3.85,Battery and comfort are fantastic; a perfect starter.
T0001905,C00514,GO_PLUS,Aura Go Plus,2022-01-10,Influencer,Search,NE,0,63946,0.09,4,Med,Med,High,260,174.2,4.5,"Great everyday set—comfortable, convenient, and stylish."
T0003836,C01048,PRO_CLASSIC,Aura Pro Classic,2022-01-10,Influencer,Search,MW,0,76492,0.22,5,Low,High,Med,1200,480,5,Impressive instrument separation and neutral tuning—reference-level clarity.
T0002322,C00629,PRO_STUDIO,Aura Pro Studio,2022-01-10,Control,ReviewSite,EU,0,85463,0.23,5,Low,High,Med,1500,600,4.85,Impressive instrument separation and neutral tuning—reference-level clarity.
T0003125,C00846,GO_LITE,Aura Go Lite,2022-01-10,Influencer,Social,SW,0,50278,0.19,3,High,Med,Med,220,149.6,,
T0002234,C00602,GO_AIR,Aura Go Air,2022-01-10,Influencer,Email,MW,0,51378,0.19,3,High,Med,Med,180,126,4.06,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0005062,C01376,GO_PLUS,Aura Go Plus,2022-01-10,Professional,Direct,MW,0,68588,0.07,4,Med,Med,High,260,174.2,4.44,Loved the portability and simple controls; good value.
T0005123,C01393,PRO_STUDIO,Aura Pro Studio,2022-01-11,Influencer,ReviewSite,W,0,80471,0.24,4,Low,High,Med,1500,600,,
T0002104,C00566,GO_MAX,Aura Go Max,2022-01-11,Influencer,Affiliate,W,0,46391,0.17,3,High,Med,Med,320,211.2,,
T0000239,C00064,GO_ACTIVE,Aura Go Active,2022-01-11,Professional,Email,SE,0,48126,0.18,3,High,Med,Med,280,193.2,,
T0001742,C00474,GO_LITE,Aura Go Lite,2022-01-11,Influencer,Direct,MW,0,69084,0.07,4,Med,Med,Med,220,149.6,4.05,Loved the portability and simple controls; good value.
T0000129,C00036,GO_LITE,Aura Go Lite,2022-01-11,Influencer,Search,NE,0,70062,0.08,4,Med,High,High,220,149.6,,
T0002305,C00620,GO_PLUS,Aura Go Plus,2022-01-11,Influencer,Search,EU,0,53203,0.19,3,High,Med,Med,260,174.2,,
T0002377,C00646,GO_ACTIVE,Aura Go Active,2022-01-11,Control,Direct,W,0,65077,0.09,4,Med,Med,High,280,193.2,4.28,Loved the portability and simple controls; good value.
T0003984,C01080,PRO_X,Aura Pro X,2022-01-12,Professional,Direct,SW,0,67904,0.09,3,Med,Med,Med,1400,560,4.38,Finally understand what ‘resolution’ means—phenomenal upgrade.
T0003907,C01061,PRO_X,Aura Pro X,2022-01-12,Professional,Social,W,0,69003,0.07,4,Med,Med,High,1400,560,,
T0004892,C01335,GO_AIR,Aura Go Air,2022-01-12,Professional,Search,MW,0,65864,0.08,4,Med,Med,Med,180,126,,
T0004892,C01335,GO_LITE,Aura Go Lite,2022-01-12,Professional,Search,MW,0,65864,0.08,4,Med,Med,Med,220,149.6,4.21,"Great everyday set—comfortable, convenient, and stylish."
T0000463,C00130,GO_MAX,Aura Go Max,2022-01-12,Professional,Social,MW,0,51518,0.18,3,High,Med,Med,320,211.2,3.89,Very comfy with great battery life; sound is fine for commuting.
T0000463,C00130,GO_LITE,Aura Go Lite,2022-01-12,Professional,Social,MW,0,51518,0.18,3,High,Med,Med,220,149.6,,
T0002979,C00809,GO_LITE,Aura Go Lite,2022-01-13,Influencer,Email,NE,0,47638,0.17,3,High,Med,Med,220,149.6,,
T0002979,C00809,GO_MAX,Aura Go Max,2022-01-13,Influencer,Email,NE,0,47638,0.17,3,High,Med,Med,320,211.2,,
T0002622,C00720,GO_PLUS,Aura Go Plus,2022-01-13,Control,Search,NE,0,50506,0.18,3,High,Low,Med,260,174.2,4.05,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0005029,C01367,GO_LITE,Aura Go Lite,2022-01-14,Influencer,Search,MW,0,47142,0.18,3,High,Med,High,220,149.6,3.81,Very comfy with great battery life; sound is fine for commuting.
T0000637,C00184,GO_ACTIVE,Aura Go Active,2022-01-14,Influencer,Search,W,0,69512,0.08,4,Med,Med,High,280,193.2,3.98,"Great everyday set—comfortable, convenient, and stylish."
T0004639,C01250,GO_ACTIVE,Aura Go Active,2022-01-14,Influencer,Social,SW,0,48075,0.19,3,High,Med,Med,280,193.2,,
T0001960,C00526,GO_AIR,Aura Go Air,2022-01-15,Control,Affiliate,SE,0,49048,0.19,3,High,Med,Med,180,126,,
T0003727,C01021,GO_AIR,Aura Go Air,2022-01-15,Influencer,Search,SW,0,51107,0.19,3,High,Med,Med,180,126,,
T0001125,C00310,GO_ACTIVE,Aura Go Active,2022-01-15,Professional,Email,NE,0,44469,0.18,3,High,Med,Med,280,193.2,3.5,Solid value for money; looks sleek and gets the job done.
T0003727,C01021,GO_LITE,Aura Go Lite,2022-01-15,Influencer,Search,SW,0,51107,0.19,3,High,Med,Med,220,149.6,,
T0001822,C00496,GO_LITE,Aura Go Lite,2022-01-15,Control,Direct,SW,1,50523,0.18,3,High,Med,Med,220,149.6,3.75,Very comfy with great battery life; sound is fine for commuting.
T0002494,C00684,GO_MAX,Aura Go Max,2022-01-15,Professional,Social,SE,0,57666,0.18,3,High,Med,Med,320,211.2,,
T0000130,C00037,GO_PLUS,Aura Go Plus,2022-01-16,Professional,Direct,SE,0,46633,0.18,3,High,Med,Med,260,174.2,,
T0001097,C00302,GO_AIR,Aura Go Air,2022-01-16,Professional,Email,W,0,52438,0.18,3,High,Med,Med,180,126,,
T0001097,C00302,GO_LITE,Aura Go Lite,2022-01-16,Professional,Email,W,0,52438,0.18,3,High,Med,Med,220,149.6,4.42,Solid value for money; looks sleek and gets the job done.
T0001097,C00302,GO_LITE,Aura Go Lite,2022-01-16,Professional,Email,W,0,52438,0.18,3,High,Med,Med,220,149.6,,
T0003188,C00864,GO_LITE,Aura Go Lite,2022-01-17,Professional,Email,MW,0,45085,0.17,3,High,Med,Med,220,149.6,4.15,Very comfy with great battery life; sound is fine for commuting.
T0000703,C00199,PRO_CLASSIC,Aura Pro Classic,2022-01-17,Influencer,ReviewSite,EU,0,67073,0.10,4,Med,Med,High,1200,480,,
T0003585,C00983,PRO_X,Aura Pro X,2022-01-18,Control,Affiliate,EU,0,86869,0.22,5,Low,High,Med,1400,560,,
T0005496,C01489,GO_PLUS,Aura Go Plus,2022-01-18,Influencer,Email,W,0,48673,0.20,3,High,Med,Med,260,174.2,3.77,Solid value for money; looks sleek and gets the job done.
T0003904,C01061,GO_AIR,Aura Go Air,2022-01-18,Control,Email,W,0,69003,0.07,4,Med,Med,High,180,126,,
T0005496,C01489,PRO_X,Aura Pro X,2022-01-18,Influencer,Email,W,0,48673,0.20,3,High,Med,Med,1400,560,3.91,Never knew detail like this existed; immersive and balanced.
T0003904,C01061,GO_ACTIVE,Aura Go Active,2022-01-18,Control,Email,W,0,69003,0.07,4,Med,Med,High,280,193.2,,
T0001211,C00329,GO_PLUS,Aura Go Plus,2022-01-19,Influencer,Direct,W,0,49418,0.19,3,High,Med,Med,260,174.2,4.38,Solid value for money; looks sleek and gets the job done.
T0003445,C00939,GO_AIR,Aura Go Air,2022-01-19,Control,Affiliate,SW,0,93895,0.22,5,Low,High,Med,180,126,,
T0002966,C00807,GO_LITE,Aura Go Lite,2022-01-19,Influencer,Social,NE,0,66667,0.08,4,Med,Med,High,220,149.6,3.88,Battery and comfort are fantastic; a perfect starter.
T0004366,C01181,GO_AIR,Aura Go Air,2022-01-19,Influencer,Direct,SE,0,63017,0.09,4,Med,Med,Med,180,126,,
T0001595,C00435,PRO_STUDIO,Aura Pro Studio,2022-01-20,Professional,ReviewSite,SW,0,83780,0.21,4,Low,High,Med,1500,600,4.98,Soundstage is airy and natural; micro-detail retrieval is exceptional.
T0002867,C00784,GO_PLUS,Aura Go Plus,2022-01-20,Professional,ReviewSite,NE,0,49080,0.18,3,High,Med,Med,260,174.2,,
T0002867,C00784,GO_AIR,Aura Go Air,2022-01-20,Professional,ReviewSite,NE,0,49080,0.18,3,High,Med,Med,180,126,,
T0005416,C01469,GO_LITE,Aura Go Lite,2022-01-20,Influencer,Social,EU,0,65213,0.07,4,Med,Med,High,220,149.6,,
T0003312,C00903,PRO_X,Aura Pro X,2022-01-20,Professional,ReviewSite,MW,0,88744,0.21,4,Low,High,Med,1400,560,5,Impressive instrument separation and neutral tuning—reference-level clarity.
T0003288,C00898,GO_MAX,Aura Go Max,2022-01-21,Professional,Email,NE,0,58563,0.09,4,Med,Med,High,320,211.2,4.33,Battery and comfort are fantastic; a perfect starter.
T0004935,C01346,GO_AIR,Aura Go Air,2022-01-21,Influencer,Social,SE,0,46805,0.17,3,High,Low,High,180,126,,
T0004736,C01285,GO_MAX,Aura Go Max,2022-01-21,Professional,Email,EU,0,55171,0.18,3,High,Med,Med,320,211.2,,
T0005463,C01478,GO_MAX,Aura Go Max,2022-01-21,Influencer,Direct,NE,0,49189,0.17,3,High,Med,Med,320,211.2,,
T0001487,C00405,GO_PLUS,Aura Go Plus,2022-01-21,Influencer,Email,W,0,53385,0.17,2,High,Med,Med,260,174.2,,
T0003102,C00840,GO_ACTIVE,Aura Go Active,2022-01-21,Influencer,Search,MW,0,52798,0.17,3,High,Med,High,280,193.2,3.6,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0000035,C00012,GO_ACTIVE,Aura Go Active,2022-01-21,Influencer,Social,W,0,67732,0.08,4,Med,Med,High,280,193.2,3.72,"Great everyday set—comfortable, convenient, and stylish."
T0000319,C00089,GO_MAX,Aura Go Max,2022-01-22,Professional,Affiliate,MW,0,66867,0.07,4,Med,Med,High,320,211.2,,
T0002647,C00729,PRO_CLASSIC,Aura Pro Classic,2022-01-22,Professional,Affiliate,SE,0,82420,0.21,5,Low,High,Med,1200,480,,
T0003079,C00836,GO_ACTIVE,Aura Go Active,2022-01-22,Influencer,Search,MW,0,52001,0.17,3,High,Low,Med,280,193.2,4.13,Solid value for money; looks sleek and gets the job done.
T0003079,C00836,GO_LITE,Aura Go Lite,2022-01-22,Influencer,Search,MW,0,52001,0.17,3,High,Low,Med,220,149.6,,
T0000172,C00048,GO_LITE,Aura Go Lite,2022-01-22,Professional,Direct,SW,0,48006,0.19,3,High,Med,Med,220,149.6,,
T0004028,C01091,GO_MAX,Aura Go Max,2022-01-22,Professional,Affiliate,W,0,68199,0.08,4,Med,High,High,320,211.2,4.34,Battery and comfort are fantastic; a perfect starter.
T0001018,C00278,GO_PLUS,Aura Go Plus,2022-01-22,Influencer,Search,MW,0,44958,0.17,3,High,Med,Med,260,174.2,,
T0002411,C00658,GO_ACTIVE,Aura Go Active,2022-01-23,Influencer,Social,SE,0,48974,0.18,3,High,Med,Med,280,193.2,,
T0001755,C00476,GO_ACTIVE,Aura Go Active,2022-01-23,Influencer,Search,EU,0,67578,0.08,4,Med,Med,High,280,193.2,,
T0002357,C00639,PRO_X,Aura Pro X,2022-01-23,Influencer,Direct,SE,0,45928,0.18,3,High,Med,Med,1400,560,4.85,Huge upgrade in clarity and depth—music feels alive.
T0003169,C00858,GO_PLUS,Aura Go Plus,2022-01-23,Professional,ReviewSite,NE,0,45638,0.17,3,High,Med,Med,260,174.2,,
T0000189,C00053,GO_ACTIVE,Aura Go Active,2022-01-24,Professional,Search,W,0,70283,0.06,3,Med,Med,Med,280,193.2,4.34,"Great everyday set—comfortable, convenient, and stylish."
T0004708,C01274,PRO_X,Aura Pro X,2022-01-24,Control,ReviewSite,MW,0,77126,0.22,4,Low,High,Med,1400,560,4.5,Impressive instrument separation and neutral tuning—reference-level clarity.
T0003146,C00852,GO_ACTIVE,Aura Go Active,2022-01-24,Control,Email,EU,0,51846,0.18,3,High,Med,Med,280,193.2,,
T0001490,C00406,GO_PLUS,Aura Go Plus,2022-01-24,Influencer,ReviewSite,SE,0,62886,0.08,4,Med,Med,High,260,174.2,,
T0001134,C00311,GO_AIR,Aura Go Air,2022-01-24,Influencer,ReviewSite,SW,0,44151,0.18,3,High,Med,Med,180,126,,
T0002959,C00805,GO_ACTIVE,Aura Go Active,2022-01-25,Control,Affiliate,EU,0,53479,0.19,3,High,Med,Med,280,193.2,,
T0005460,C01478,GO_AIR,Aura Go Air,2022-01-25,Professional,Social,NE,0,49189,0.17,3,High,Med,Med,180,126,4.22,Solid value for money; looks sleek and gets the job done.
T0001722,C00469,PRO_CLASSIC,Aura Pro Classic,2022-01-25,Professional,Email,SE,0,82718,0.21,4,Low,High,Med,1200,480,4.28,"Build quality is superb, comfort is solid for long sessions, imaging is precise."
T0002959,C00805,GO_PLUS,Aura Go Plus,2022-01-25,Control,Affiliate,EU,0,53479,0.19,3,High,Med,Med,260,174.2,,
T0002429,C00662,GO_AIR,Aura Go Air,2022-01-25,Control,Search,SW,0,63391,0.08,4,Med,Med,Med,180,126,,
T0003268,C00893,GO_LITE,Aura Go Lite,2022-01-26,Influencer,Search,MW,0,64279,0.10,4,Med,Med,High,220,149.6,,
T0004063,C01103,GO_AIR,Aura Go Air,2022-01-26,Influencer,ReviewSite,W,0,66211,0.08,3,Med,Med,High,180,126,3.89,Battery and comfort are fantastic; a perfect starter.
T0000085,C00026,PRO_CLASSIC,Aura Pro Classic,2022-01-26,Influencer,Social,SE,0,45622,0.18,3,High,Med,Med,1200,480,4.96,Never knew detail like this existed; immersive and balanced.
T0002901,C00792,GO_AIR,Aura Go Air,2022-01-27,Influencer,Direct,SE,0,50230,0.18,3,High,Med,Med,180,126,,
T0000926,C00256,GO_AIR,Aura Go Air,2022-01-27,Professional,ReviewSite,W,0,48906,0.18,3,High,Med,Med,180,126,3.46,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0001226,C00336,PRO_STUDIO,Aura Pro Studio,2022-01-27,Control,ReviewSite,SW,0,90338,0.22,5,Low,High,Med,1500,600,4.4,"Build quality is superb, comfort is solid for long sessions, imaging is precise."
T0000005,C00002,GO_PLUS,Aura Go Plus,2022-01-28,Influencer,Social,MW,0,65685,0.07,4,Med,Med,Med,260,174.2,,
T0001536,C00415,GO_AIR,Aura Go Air,2022-01-28,Professional,Search,MW,0,50954,0.20,3,High,Med,Med,180,126,3.99,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0003227,C00877,GO_MAX,Aura Go Max,2022-01-28,Professional,Direct,SE,0,51514,0.18,3,High,Med,Med,320,211.2,3.83,Solid value for money; looks sleek and gets the job done.
T0005425,C01471,GO_AIR,Aura Go Air,2022-01-29,Control,Search,MW,0,52391,0.16,3,High,Med,Med,180,126,,
T0000739,C00210,PRO_STUDIO,Aura Pro Studio,2022-01-29,Professional,Search,SW,0,83738,0.21,5,Low,High,High,1500,600,,
T0000739,C00210,PRO_CLASSIC,Aura Pro Classic,2022-01-29,Professional,Search,SW,0,83738,0.21,5,Low,High,High,1200,480,4.93,Impressive instrument separation and neutral tuning—reference-level clarity.
T0000775,C00220,PRO_STUDIO,Aura Pro Studio,2022-01-29,Professional,Social,SE,0,63063,0.08,4,Med,Med,High,1500,600,5,Sound is spacious with natural timbre; an endgame leap for me.
T0002294,C00619,PRO_CLASSIC,Aura Pro Classic,2022-01-29,Professional,Email,NE,0,62745,0.08,4,Med,Med,Med,1200,480,5,Sound is spacious with natural timbre; an endgame leap for me.
T0004259,C01152,GO_LITE,Aura Go Lite,2022-01-29,Influencer,Affiliate,MW,0,65760,0.07,4,Med,Med,High,220,149.6,,
T0004301,C01163,GO_PLUS,Aura Go Plus,2022-01-29,Professional,Direct,SE,0,48344,0.16,4,High,Med,Med,260,174.2,,
T0003356,C00916,GO_AIR,Aura Go Air,2022-01-29,Professional,Search,EU,0,50687,0.19,3,High,Med,Med,180,126,,
T0004603,C01241,GO_ACTIVE,Aura Go Active,2022-01-29,Control,Email,MW,0,66420,0.08,4,Med,High,High,280,193.2,,
T0000739,C00210,PRO_X,Aura Pro X,2022-01-29,Professional,Search,SW,0,83738,0.21,5,Low,High,High,1400,560,4.7,Impressive instrument separation and neutral tuning—reference-level clarity.
T0000100,C00031,GO_LITE,Aura Go Lite,2022-01-29,Influencer,Search,SE,0,50835,0.18,3,High,Med,Med,220,149.6,3.9,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0004259,C01152,GO_PLUS,Aura Go Plus,2022-01-29,Influencer,Affiliate,MW,0,65760,0.07,4,Med,Med,High,260,174.2,3.87,Battery and comfort are fantastic; a perfect starter.
T0002514,C00690,PRO_CLASSIC,Aura Pro Classic,2022-01-30,Influencer,Email,SW,0,78885,0.22,5,Low,High,Med,1200,480,4.81,"Build quality is superb, comfort is solid for long sessions, imaging is precise."
T0001466,C00402,GO_ACTIVE,Aura Go Active,2022-01-30,Control,Email,NE,0,56654,0.08,3,Med,Med,High,280,193.2,4.08,Loved the portability and simple controls; good value.
T0000762,C00219,GO_MAX,Aura Go Max,2022-01-30,Control,Social,EU,0,47279,0.19,3,High,Med,Med,320,211.2,,
T0005218,C01420,GO_LITE,Aura Go Lite,2022-01-30,Influencer,Search,SE,0,63227,0.06,3,Med,Med,High,220,149.6,4.24,Loved the portability and simple controls; good value.
T0000373,C00109,PRO_CLASSIC,Aura Pro Classic,2022-01-31,Professional,Affiliate,SE,0,80918,0.22,5,Low,High,Med,1200,480,,
T0002084,C00556,GO_PLUS,Aura Go Plus,2022-01-31,Control,Email,SW,0,55137,0.19,3,High,Med,Med,260,174.2,,
T0001329,C00366,GO_ACTIVE,Aura Go Active,2022-01-31,Professional,Search,EU,0,53642,0.18,3,High,Med,Med,280,193.2,,
T0002278,C00615,GO_MAX,Aura Go Max,2022-01-31,Influencer,Social,SW,0,62488,0.08,4,Med,High,High,320,211.2,,
T0001329,C00366,GO_MAX,Aura Go Max,2022-01-31,Professional,Search,EU,0,53642,0.18,3,High,Med,Med,320,211.2,3.58,Easy pairing and decent ANC; wish the sound had a bit more punch.
T0000373,C00109,PRO_CLASSIC,Aura Pro Classic,2022-01-31,Professional,Affiliate,SE,0,80918,0.22,5,Low,High,Med,1200,480,4.61,"Build quality is superb, comfort is solid for long sessions, imaging is precise."
T0005153,C01404,GO_ACTIVE,Aura Go Active,2022-01-31,Control,Search,MW,0,51262,0.16,3,High,Med,Med,280,193.2,,
T0001329,C00366,GO_ACTIVE,Aura Go Active,2022-01-31,Professional,Search,EU,0,53642,0.18,3,High,Med,Med,280,193.2,,
T0003703,C01015,GO_LITE,Aura Go Lite,2022-02-01,Influencer,Email,SW,0,48962,0.20,3,High,Med,Med,220,149.6,,
T0003963,C01076,GO_PLUS,Aura Go Plus,2022-02-01,Professional,Social,SW,0,45251,0.17,3,High,Med,Med,260,174.2,,
T0000676,C00193,GO_ACTIVE,Aura Go Active,2022-02-01,Influencer,ReviewSite,MW,0,70430,0.09,4,Med,Med,High,280,193.2,,
T0005188,C01412,PRO_STUDIO,Aura Pro Studio,2022-02-02,Professional,ReviewSite,NE,0,83096,0.21,4,Low,High,Med,1500,600,,
